app,len,t,metric,value
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,419180795
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,410371514
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,399751522
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,468812832
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,409710948
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,454489508
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,456492129
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,492881232
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,433787470
Original,472,0.02,dtlb-load-misses-large-page-walk-completed,421288171
