app,len,t,metric,value
Original,312,0.02,cycles,2011679652503
Original,312,0.02,cycles,2011259785320
Original,312,0.02,cycles,2011971768584
Original,312,0.02,cycles,2011048158882
Original,312,0.02,cycles,2010599115222
Original,312,0.02,cycles,2011264556826
Original,312,0.02,cycles,2010964671545
Original,312,0.02,cycles,2011199845914
Original,312,0.02,cycles,2010982613987
Original,312,0.02,cycles,2008226126911
